6.587610758363551255e-01 8.902865470269116788e-02 5.741845981314076530e-01 5.660743657640099347e-02 9.278310533976237284e-01 1.825698528291582745e-01 4.159703494869706475e-01 8.898910778042017355e-01 8.004225390119625860e-01 3.414462049080186912e-01
2.216729947199036488e-02 6.732208791824503269e-01 8.349285944349625899e-01 4.549144195477344832e-01 6.422292785478087573e-01 1.924667858455827441e-01 9.194407353877032119e-01 1.959567345159385354e-02 3.420040707261051693e-01 2.945926124736101270e-01
1.744723690599103705e-01 9.914722998231362272e-01 6.024940109935096322e-01 8.374262192529914328e-01 8.793595333974915107e-01 7.623051899689892164e-01 6.476666328735142253e-01 1.061380458646342673e-01 5.476172122489146865e-01 9.544364858629726944e-01
8.766279785422742554e-01 6.357281924993064548e-01 2.818256069528414232e-01 7.971752712064941182e-01 4.364183761364877068e-01 5.762962986424546852e-02 3.494458081924860515e-01 2.462111278242569146e-01 4.621152768101102204e-01 2.976188357779677718e-01
2.195787678930471998e-02 2.279908039376314921e-01 2.626951667264846302e-01 4.029300340681286619e-01 7.961117126318930648e-01 5.067610353704374848e-01 9.234039676365868310e-01 1.233337945009548298e-01 8.875776790616398682e-01 6.431927508345393063e-01
6.483467529522131123e-01 5.718834141411875960e-01 2.309363358937174260e-01 7.725717448991020753e-01 1.949523385380277363e-01 5.601347600325468079e-01 6.857028766211692439e-01 2.018557090808996701e-01 6.475694124945783336e-01 6.178184444116529006e-01
4.112922029528442991e-02 6.894493046661903657e-01 8.052281118247469616e-01 8.245067484621159126e-01 7.454015392563051456e-01 2.868801482009951664e-01 9.030514924398729271e-01 2.210508901389928171e-01 6.727789502129006838e-01 2.983353891682466452e-01
9.190877188556721977e-01 4.003497456777478369e-01 2.536726766417199963e-01 5.149702772125565042e-01 1.572687425589359700e-01 3.847868390278760264e-01 6.698856437104435679e-01 4.783644728284385250e-01 5.881442592425204507e-01 4.829795609275073787e-01
4.322595813075869042e-01 1.484480117900144336e-02 5.549964937922373664e-01 8.158458907522061487e-01 8.381918518551789710e-02 7.681182406698230380e-01 1.078296892042169830e-01 3.257318355245529817e-01 7.822178544313922455e-01 3.255855449467353058e-01
6.234981051046653011e-01 8.096350136460429558e-01 1.977671475929815292e-01 7.109887745037555273e-01 6.271529692621059526e-01 4.981373359520238076e-01 7.753059989497733673e-01 1.498575174834294588e-01 9.609698806881183941e-01 5.290621721421362444e-03
